"claim_no","claim_amount_true"
"H03001",1314.57
"H03002",1278.52
"H03003",1239.53
"H03004",1212.85
"H03005",1200
"H03006",1193.19
"H03007",1174.44
"H03008",1148.23
"H03009",1133.54
"H03010",1075.43
"H03011",1060.49
"H03012",1039.69
"H03013",1026.15
"H03014",1011.58
"H03015",1010
"H03016",990.89
"H03017",981.95
"H03018",968.87
"H03019",961.06
"H03020",946.34
"H03021",939.69
"H03022",886.07
"H03023",882
"H03024",881.99
"H03025",878.54
"H03026",873.19
"H03027",834.12
"H03028",819.19
"H03029",805.18
"H03030",804.62
"H03031",789.73
"H03032",783.71
"H03033",772.24
"H03034",767.97
"H03035",744.04
"H03036",737.42
"H03037",729.17
"H03038",714.71
"H03039",680.05
"H03040",676.15
"H03041",669.2
"H03042",652.83
"H03043",651.18
"H03044",629.79
"H03045",623.07
"H03046",596.8
"H03047",586.85
"H03048",561.93
"H03049",554.5
"H03050",554.14
"H03051",547.23
"H03052",543.75
"H03053",523.13
"H03054",523.12
"H03055",520.45
"H03056",516.44
"H03057",516.23
"H03058",514.57
"H03059",510.1
"H03060",508.99
"H03061",500.65
"H03062",484.38
"H03063",479.44
"H03064",470
"H03065",454.05
"H03066",450.62
"H03067",444.98
"H03068",439.5
"H03069",434.92
"H03070",422.99
"H03071",411.35
"H03072",411
"H03073",398.28
"H03074",398.08
"H03075",385.94
"H03076",367.14
"H03077",361.11
"H03078",350.92
"H03079",329.4
"H03080",326.48
"H03081",315.61
"H03082",313.99
"H03083",311.32
"H03084",290.81
"H03085",270.2
"H03086",267.98
"H03087",259.21
"H03088",255.98
"H03089",251.37
"H03090",247.5
"H03091",230.07
"H03092",133.76
"H03093",109.53
"H03094",108.15
"H03095",86.33
"H03096",36.29
"H03097",35
"H03098",25.44
"H03099",25
"H03100",9793.42
"H03101",7757.35
"H03102",7620.37
"H03103",7543.24
"H03104",7513.51
"H03105",6800.94
"H03106",6246.27
"H03107",6163.89
"H03108",5546.63
"H03109",5427.48
"H03110",5317.71
"H03111",4864.38
"H03112",4781.43
"H03113",4607.69
"H03114",4558.77
"H03115",4359.77
"H03116",4334.92
"H03117",4048.31
"H03118",3983.75
"H03119",3944.37
"H03120",3887.03
"H03121",3862.95
"H03122",3771.93
"H03123",3765.25
"H03124",3763.04
"H03125",3699.39
"H03126",3434.4
"H03127",3331.48
"H03128",3035.81
"H03129",3007.15
"H03130",3000
"H03131",2888.44
"H03132",2887.5
"H03133",2799.22
"H03134",2721.71
"H03135",2696.35
"H03136",2680.81
"H03137",2648.23
"H03138",2551.57
"H03139",2535.72
"H03140",2507.66
"H03141",2437.66
"H03142",2406
"H03143",2228.05
"H03144",2199.43
"H03145",2182.77
"H03146",2105.3
"H03147",2002.9
"H03148",1850.78
"H03149",1782.16
"H03150",1705.94
"H03151",1677.66
"H03152",1613.41
"H03153",1609.52
"H03154",1577.05
"H03155",1567.93
"H03156",1504.43
"H03157",1451.57
"H03158",1451.19
"H03159",1439.46
"H03160",1436
"H03161",1391.42
"H03162",1340.74
"H03163",1316.95
"H03164",1315.16
"H03165",1283.6
"H03166",1282.58
"H03167",1249.02
"H03168",1219.26
"H03169",1200
"H03170",1159.2
"H03171",1151.25
"H03172",1141.9
"H03173",1138
"H03174",1114.06
"H03175",1086.9
"H03176",1085.62
"H03177",1068.82
"H03178",1056.23
"H03179",1050
"H03180",1043.75
"H03181",1019.4
"H03182",978.46
"H03183",954.94
"H03184",943.55
"H03185",941.85
"H03186",925.66
"H03187",909.99
"H03188",903.99
"H03189",892.16
"H03190",875.28
"H03191",864.31
"H03192",831.86
"H03193",829.03
"H03194",825.37
"H03195",822.17
"H03196",802.72
"H03197",799.76
"H03198",789
"H03199",788.84
"H03200",778.29
"H03201",760.03
"H03202",739.41
"H03203",738.18
"H03204",735.5
"H03205",707.23
"H03206",707.09
"H03207",704.48
"H03208",678.62
"H03209",664.07
"H03210",640
"H03211",636.5
"H03212",607.23
"H03213",598.17
"H03214",589.79
"H03215",582.58
"H03216",565.03
"H03217",558.45
"H03218",542.36
"H03219",541.67
"H03220",527.52
"H03221",526.17
"H03222",516.96
"H03223",510.19
"H03224",498.62
"H03225",498.22
"H03226",492.59
"H03227",492.22
"H03228",476.2
"H03229",468
"H03230",463.98
"H03231",460.15
"H03232",457.95
"H03233",446.38
"H03234",445.28
"H03235",443.49
"H03236",443.35
"H03237",439.22
"H03238",430.96
"H03239",399.63
"H03240",385.39
"H03241",379.84
"H03242",375.4
"H03243",370.58
"H03244",362.73
"H03245",362.48
"H03246",359.11
"H03247",348.47
"H03248",345.1
"H03249",343.6
"H03250",335.29
"H03251",328.11
"H03252",327.1
"H03253",317.77
"H03254",315.44
"H03255",315
"H03256",291.64
"H03257",290.9
"H03258",289.14
"H03259",281.5
"H03260",275.97
"H03261",261.99
"H03262",258.44
"H03263",243.35
"H03264",204.12
"H03265",200
"H03266",196.22
"H03267",165.77
"H03268",165.66
"H03269",160.19
"H03270",158.26
"H03271",153.85
"H03272",139.02
"H03273",126.7
"H03274",114.05
"H03275",98.21
"H03276",37.98
"H03277",10943.31
"H03278",9597.98
"H03279",9361.83
"H03280",8396.25
"H03281",8215.8
"H03282",7920.76
"H03283",7599.5
"H03284",7339.9
"H03285",7038.33
"H03286",6208.2
"H03287",6161.06
"H03288",5600.6
"H03289",5241.71
"H03290",4893.55
"H03291",4627.84
"H03292",4500
"H03293",4171.01
"H03294",3912.49
"H03295",3905.42
"H03296",3854.3
"H03297",3817.73
"H03298",3314.42
"H03299",3296.77
"H03300",3277.24
"H03301",3230.09
"H03302",3046.29
"H03303",2843.32
"H03304",2821.59
"H03305",2766.92
"H03306",2758.54
"H03307",2755.77
"H03308",2732.94
"H03309",2731.4
"H03310",2701.04
"H03311",2600
"H03312",2531.24
"H03313",2347.8
"H03314",2271.47
"H03315",2247.93
"H03316",2230.25
"H03317",2163.73
"H03318",2038.05
"H03319",2036.49
"H03320",2022.19
"H03321",2005.87
"H03322",1928.18
"H03323",1925.31
"H03324",1918.9
"H03325",1890.5
"H03326",1816.58
"H03327",1785
"H03328",1745.29
"H03329",1731.05
"H03330",1726.51
"H03331",1705.08
"H03332",1704.54
"H03333",1641.63
"H03334",1628.56
"H03335",1584.78
"H03336",1572.76
"H03337",1565.84
"H03338",1537.89
"H03339",1475.12
"H03340",1462.23
"H03341",1454.32
"H03342",1442.27
"H03343",1409.51
"H03344",1394.06
"H03345",1391.55
"H03346",1384.12
"H03347",1358.22
"H03348",1344.14
"H03349",1300
"H03350",1279.05
"H03351",1273.07
"H03352",1242.8
"H03353",1227.26
"H03354",1181.3
"H03355",1154.39
"H03356",1149.87
"H03357",1145.63
"H03358",1106.82
"H03359",1100.91
"H03360",1076.77
"H03361",1071.25
"H03362",1066.48
"H03363",1057.91
"H03364",1047.41
"H03365",1005.85
"H03366",988.21
"H03367",959.52
"H03368",954
"H03369",950
"H03370",921.16
"H03371",875.21
"H03372",866.2
"H03373",857.61
"H03374",857.19
"H03375",854.88
"H03376",846.5
"H03377",839.16
"H03378",834.51
"H03379",819.83
"H03380",801.63
"H03381",799.29
"H03382",789.33
"H03383",773.31
"H03384",773.15
"H03385",763.07
"H03386",760.55
"H03387",746.63
"H03388",730.83
"H03389",711.56
"H03390",705
"H03391",701.05
"H03392",700
"H03393",700
"H03394",691.13
"H03395",636.78
"H03396",628.08
"H03397",603.29
"H03398",600
"H03399",564.66
"H03400",554.55
"H03401",545.3
"H03402",530.64
"H03403",514
"H03404",513.24
"H03405",512.09
"H03406",497.7
"H03407",495.92
"H03408",490.6
"H03409",482.35
"H03410",462
"H03411",457.51
"H03412",450.08
"H03413",445.05
"H03414",443.58
"H03415",440.31
"H03416",430.42
"H03417",414.45
"H03418",404.15
"H03419",393.86
"H03420",384.9
"H03421",382.01
"H03422",361.73
"H03423",350
"H03424",321.13
"H03425",289.96
"H03426",280
"H03427",276.02
"H03428",273.58
"H03429",273.29
"H03430",266.38
"H03431",253.86
"H03432",250
"H03433",243.11
"H03434",230
"H03435",226.56
"H03436",224.23
"H03437",223
"H03438",189.9
"H03439",187.5
"H03440",176.2
"H03441",160
"H03442",152.13
"H03443",144.19
"H03444",126.1
"H03445",123.96
"H03446",85
"H03447",17067.32
"H03448",10652.59
"H03449",9964.08
"H03450",9183.55
"H03451",8520.94
"H03452",7836.7
"H03453",6390.19
"H03454",5985.57
"H03455",5838.03
"H03456",5713.08
"H03457",5556.75
"H03458",5039.73
"H03459",4593.43
"H03460",4414.08
"H03461",4313.68
"H03462",4286.57
"H03463",4259.76
"H03464",3994.66
"H03465",3777.64
"H03466",3662.96
"H03467",3597.83
"H03468",3566.59
"H03469",3472
"H03470",3403.09
"H03471",3328.93
"H03472",3224.72
"H03473",2918
"H03474",2883.84
"H03475",2805.73
"H03476",2712.61
"H03477",2688
"H03478",2674
"H03479",2593.89
"H03480",2586.45
"H03481",2525.2
"H03482",2465.08
"H03483",2399.01
"H03484",2354.22
"H03485",2340.05
"H03486",2265.83
"H03487",2171.25
"H03488",2166.3
"H03489",2163.98
"H03490",2151.66
"H03491",2125.09
"H03492",2068.44
"H03493",2000
"H03494",1907
"H03495",1791.85
"H03496",1760.12
"H03497",1739.92
"H03498",1739.28
"H03499",1730
"H03500",1717.37
"H03501",1696.26
"H03502",1644.2
"H03503",1636.16
"H03504",1595.17
"H03505",1591.32
"H03506",1535.01
"H03507",1506
"H03508",1483.34
"H03509",1448.59
"H03510",1444.17
"H03511",1441
"H03512",1433.77
"H03513",1430.43
"H03514",1405
"H03515",1395.14
"H03516",1390.16
"H03517",1352.01
"H03518",1325.64
"H03519",1302.5
"H03520",1291.48
"H03521",1268.37
"H03522",1266.44
"H03523",1243.73
"H03524",1240.84
"H03525",1231.03
"H03526",1191.58
"H03527",1185.83
"H03528",1168.75
"H03529",1167.44
"H03530",1156.05
"H03531",1118.73
"H03532",1104.29
"H03533",1090.49
"H03534",1068.71
"H03535",1055.23
"H03536",1049.08
"H03537",1035.03
"H03538",1025.44
"H03539",1015.21
"H03540",1014.98
"H03541",1012.89
"H03542",1011.97
"H03543",981.57
"H03544",973.2
"H03545",960.82
"H03546",956.49
"H03547",941.51
"H03548",934.69
"H03549",885.5
"H03550",874.97
"H03551",869.51
"H03552",868.15
"H03553",840.73
"H03554",838.37
"H03555",821.46
"H03556",793.09
"H03557",786.4
"H03558",774.08
"H03559",768.66
"H03560",758.65
"H03561",756.42
"H03562",739.87
"H03563",735.11
"H03564",720.53
"H03565",712.96
"H03566",712.84
"H03567",710.11
"H03568",708
"H03569",706.88
"H03570",705.29
"H03571",702.1
"H03572",699.19
"H03573",695.56
"H03574",677.43
"H03575",668.12
"H03576",660.32
"H03577",655.16
"H03578",648.16
"H03579",634.14
"H03580",625.79
"H03581",609.01
"H03582",589.88
"H03583",589.58
"H03584",588.56
"H03585",562.15
"H03586",561.23
"H03587",559.9
"H03588",556.54
"H03589",545.35
"H03590",537.77
"H03591",535.3
"H03592",520.96
"H03593",500
"H03594",498.38
"H03595",493.27
"H03596",491.1
"H03597",490.53
"H03598",488.6
"H03599",482.09
"H03600",478.81
"H03601",478.64
"H03602",466.99
"H03603",459.43
"H03604",452.54
"H03605",447.19
"H03606",444.69
"H03607",425.21
"H03608",410
"H03609",400.62
"H03610",390.03
"H03611",372.96
"H03612",364.58
"H03613",352.42
"H03614",345.7
"H03615",338.3
"H03616",329.85
"H03617",322.51
"H03618",315.3
"H03619",308
"H03620",302.54
"H03621",280.03
"H03622",267.25
"H03623",265.24
"H03624",259.41
"H03625",257.2
"H03626",254.46
"H03627",239.2
"H03628",220.8
"H03629",219.89
"H03630",216.52
"H03631",175
"H03632",171.97
"H03633",153.18
"H03634",129.86
"H03635",128.6
"H03636",125.53
"H03637",116.37
"H03638",105.31
"H03639",90.92
"H03640",20047.78
"H03641",10912.06
"H03642",10391.52
"H03643",10264.47
"H03644",7339.68
"H03645",6942.54
"H03646",6517
"H03647",5346.94
"H03648",5313.8
"H03649",4920
"H03650",4807.95
"H03651",4610.48
"H03652",4551.35
"H03653",4341.94
"H03654",4014.15
"H03655",3842.37
"H03656",3803.39
"H03657",3782.22
"H03658",3750
"H03659",3670.52
"H03660",3482.79
"H03661",3482.63
"H03662",3437.36
"H03663",3382.2
"H03664",3223.5
"H03665",3086.95
"H03666",3072.49
"H03667",2905.94
"H03668",2875.49
"H03669",2784.11
"H03670",2765.27
"H03671",2630.5
"H03672",2573.54
"H03673",2510.38
"H03674",2429.34
"H03675",2386.46
"H03676",2366.28
"H03677",2330.16
"H03678",2264.69
"H03679",2192.2
"H03680",2176.58
"H03681",2128.29
"H03682",2100
"H03683",2094.82
"H03684",2008.16
"H03685",1897.85
"H03686",1876.31
"H03687",1875
"H03688",1861.83
"H03689",1858.99
"H03690",1806.09
"H03691",1789.33
"H03692",1776.47
"H03693",1735.48
"H03694",1690.06
"H03695",1671.48
"H03696",1669.4
"H03697",1662.63
"H03698",1620.64
"H03699",1595.82
"H03700",1530.22
"H03701",1523.47
"H03702",1497.41
"H03703",1455.22
"H03704",1410.84
"H03705",1400
"H03706",1395.42
"H03707",1325.54
"H03708",1315.17
"H03709",1314.46
"H03710",1312.52
"H03711",1297.33
"H03712",1292.93
"H03713",1285.58
"H03714",1276
"H03715",1262.99
"H03716",1250
"H03717",1240.52
"H03718",1238.39
"H03719",1221.73
"H03720",1209.89
"H03721",1200
"H03722",1197.32
"H03723",1189.85
"H03724",1189.76
"H03725",1160.56
"H03726",1152.26
"H03727",1130.8
"H03728",1126.69
"H03729",1114.63
"H03730",1110.53
"H03731",1086.8
"H03732",1061.28
"H03733",1054.91
"H03734",1029.88
"H03735",1018.5
"H03736",1017.39
"H03737",1000.6
"H03738",1000
"H03739",992.48
"H03740",979.5
"H03741",957.98
"H03742",948.94
"H03743",947.84
"H03744",936.07
"H03745",930.2
"H03746",926.2
"H03747",922.58
"H03748",901.5
"H03749",898.97
"H03750",897.26
"H03751",894.06
"H03752",891.95
"H03753",888.11
"H03754",862.24
"H03755",851.2
"H03756",842.66
"H03757",842.62
"H03758",840.11
"H03759",830.92
"H03760",824.78
"H03761",823.17
"H03762",810.73
"H03763",804.29
"H03764",790.94
"H03765",784.79
"H03766",783.74
"H03767",777.53
"H03768",767.54
"H03769",765.24
"H03770",756.78
"H03771",743.49
"H03772",740.11
"H03773",738.34
"H03774",726.48
"H03775",709.64
"H03776",706.49
"H03777",705.64
"H03778",705.63
"H03779",689.17
"H03780",685.84
"H03781",684.15
"H03782",677.36
"H03783",673.49
"H03784",672.91
"H03785",672.34
"H03786",667.19
"H03787",663.2
"H03788",659.74
"H03789",650.55
"H03790",630.35
"H03791",627.89
"H03792",616.14
"H03793",614.66
"H03794",613.97
"H03795",599.02
"H03796",580.71
"H03797",580.04
"H03798",576.61
"H03799",539.01
"H03800",534.83
"H03801",533.19
"H03802",518.26
"H03803",518.09
"H03804",518
"H03805",499
"H03806",496.58
"H03807",494.32
"H03808",490.48
"H03809",468.37
"H03810",457.04
"H03811",445.68
"H03812",435.72
"H03813",435.27
"H03814",435.24
"H03815",432.66
"H03816",429.37
"H03817",425.74
"H03818",420.91
"H03819",420
"H03820",414.75
"H03821",414.67
"H03822",393.71
"H03823",389.89
"H03824",388.18
"H03825",374.37
"H03826",366.88
"H03827",365.56
"H03828",365.45
"H03829",350
"H03830",335.91
"H03831",329.61
"H03832",320.63
"H03833",310
"H03834",265.1
"H03835",250
"H03836",243.33
"H03837",240.53
"H03838",222.15
"H03839",216.51
"H03840",155.04
"H03841",152.66
"H03842",145
"H03843",120.91
"H03844",116.66
"H03845",112.14
"H03846",97.7
"H03847",22885.86
"H03848",15491.64
"H03849",14716.81
"H03850",10059.46
"H03851",8574.48
"H03852",8146.07
"H03853",8144.41
"H03854",7522.19
"H03855",7362.41
"H03856",7063.69
"H03857",6630.91
"H03858",6000.37
"H03859",5977.12
"H03860",5454.3
"H03861",5273.38
"H03862",5256.75
"H03863",4902.06
"H03864",4634.62
"H03865",4465.03
"H03866",4449.39
"H03867",4335.38
"H03868",4300
"H03869",4082.91
"H03870",4019.32
"H03871",3905.09
"H03872",3762.24
"H03873",3451.91
"H03874",3442.43
"H03875",3274.35
"H03876",3227.06
"H03877",3138.91
"H03878",3105.06
"H03879",3049.27
"H03880",2875
"H03881",2843.51
"H03882",2780
"H03883",2751.55
"H03884",2723.67
"H03885",2674.62
"H03886",2544.87
"H03887",2530.88
"H03888",2477
"H03889",2475.55
"H03890",2474.41
"H03891",2471.81
"H03892",2468.1
"H03893",2454.75
"H03894",2435.85
"H03895",2415.22
"H03896",2378.89
"H03897",2371.69
"H03898",2362.48
"H03899",2115.8
"H03900",2102.93
"H03901",2058.73
"H03902",2045.43
"H03903",2044.64
"H03904",1995.85
"H03905",1991.38
"H03906",1974.82
"H03907",1943.27
"H03908",1893.3
"H03909",1890
"H03910",1865.35
"H03911",1819.17
"H03912",1801.24
"H03913",1764.2
"H03914",1720.9
"H03915",1709.44
"H03916",1688.9
"H03917",1652.25
"H03918",1616.01
"H03919",1605.1
"H03920",1575.03
"H03921",1567.05
"H03922",1557.61
"H03923",1515.46
"H03924",1500.94
"H03925",1499.08
"H03926",1498.2
"H03927",1478.59
"H03928",1476.15
"H03929",1469.03
"H03930",1468.3
"H03931",1455
"H03932",1402.38
"H03933",1395.26
"H03934",1365.06
"H03935",1357.83
"H03936",1357.79
"H03937",1285.59
"H03938",1272.79
"H03939",1261.89
"H03940",1254.8
"H03941",1246.8
"H03942",1242.8
"H03943",1224.98
"H03944",1204.25
"H03945",1193.32
"H03946",1188.63
"H03947",1167.93
"H03948",1159.07
"H03949",1135.89
"H03950",1125.84
"H03951",1123.7
"H03952",1102.55
"H03953",1091.18
"H03954",1071.88
"H03955",1069.03
"H03956",1008.12
"H03957",1004.07
"H03958",1002.01
"H03959",997.98
"H03960",985.7
"H03961",983.75
"H03962",962.13
"H03963",961.88
"H03964",957.68
"H03965",938.15
"H03966",917.8
"H03967",914.81
"H03968",905.3
"H03969",891.16
"H03970",882.43
"H03971",881.93
"H03972",876
"H03973",875
"H03974",873.05
"H03975",864.92
"H03976",862.5
"H03977",852
"H03978",832.88
"H03979",826.2
"H03980",825.75
"H03981",813.03
"H03982",800
"H03983",790.31
"H03984",785.12
"H03985",781.8
"H03986",777.06
"H03987",773.19
"H03988",772.9
"H03989",757.85
"H03990",747.81
"H03991",735
"H03992",719.83
"H03993",715.37
"H03994",715
"H03995",713.42
"H03996",699.6
"H03997",694.44
"H03998",686.67
"H03999",680.67
"H04000",674.3
"H04001",664.41
"H04002",663.04
"H04003",657.54
"H04004",651.82
"H04005",651.52
"H04006",644.68
"H04007",629.78
"H04008",616.07
"H04009",613.19
"H04010",611.81
"H04011",601.13
"H04012",583.96
"H04013",575.42
"H04014",563.79
"H04015",537.88
"H04016",498.32
"H04017",494.06
"H04018",480.36
"H04019",477.9
"H04020",470.37
"H04021",467.1
"H04022",446.47
"H04023",445.94
"H04024",433.82
"H04025",426.54
"H04026",418.18
"H04027",396.02
"H04028",384.41
"H04029",381.93
"H04030",377.58
"H04031",375.96
"H04032",367.9
"H04033",365.12
"H04034",345.08
"H04035",339.92
"H04036",338.31
"H04037",338.31
"H04038",334.8
"H04039",332.55
"H04040",328.57
"H04041",322.83
"H04042",321.62
"H04043",319
"H04044",318.06
"H04045",316.37
"H04046",313.71
"H04047",313.25
"H04048",306.85
"H04049",305.11
"H04050",294.63
"H04051",291.29
"H04052",288.65
"H04053",282.2
"H04054",265.85
"H04055",265.64
"H04056",252.89
"H04057",250
"H04058",241.4
"H04059",237.89
"H04060",211.53
"H04061",208.01
"H04062",196.84
"H04063",196.13
"H04064",174.16
"H04065",164.33
"H04066",160.58
"H04067",145.75
"H04068",140.21
"H04069",113.45
"H04070",26.23
"H04071",11093.69
"H04072",10451.04
"H04073",10432.47
"H04074",10358.18
"H04075",7859
"H04076",7318.4
"H04077",7197.4
"H04078",7108.76
"H04079",6356.9
"H04080",6205.66
"H04081",6145.45
"H04082",5696.74
"H04083",5448.32
"H04084",5275.46
"H04085",5244.93
"H04086",5233.99
"H04087",5134.29
"H04088",5082.13
"H04089",4854.55
"H04090",4451.8
"H04091",4355.64
"H04092",4320.28
"H04093",3924.13
"H04094",3911.44
"H04095",3844.34
"H04096",3820.97
"H04097",3732.91
"H04098",3630.97
"H04099",3610.7
"H04100",3534.16
"H04101",3519.15
"H04102",3326.62
"H04103",3296.47
"H04104",3222.45
"H04105",3110.79
"H04106",2945.22
"H04107",2891.32
"H04108",2836.4
"H04109",2675
"H04110",2668.4
"H04111",2643.26
"H04112",2581.07
"H04113",2498.06
"H04114",2484.38
"H04115",2398.8
"H04116",2370.58
"H04117",2342.1
"H04118",2332.12
"H04119",2240.97
"H04120",2211.25
"H04121",2180
"H04122",2113.65
"H04123",2093.62
"H04124",2065
"H04125",1993.37
"H04126",1930.21
"H04127",1820.4
"H04128",1791.87
"H04129",1751.23
"H04130",1733.4
"H04131",1704.42
"H04132",1683.41
"H04133",1655.67
"H04134",1641.81
"H04135",1636.11
"H04136",1590.34
"H04137",1581.64
"H04138",1563.5
"H04139",1562.29
"H04140",1541.96
"H04141",1539.85
"H04142",1535
"H04143",1531.33
"H04144",1511.79
"H04145",1477.44
"H04146",1462.72
"H04147",1445.95
"H04148",1379.11
"H04149",1354.03
"H04150",1331.97
"H04151",1320.02
"H04152",1318.72
"H04153",1289.93
"H04154",1279.57
"H04155",1272.76
"H04156",1264.6
"H04157",1250.46
"H04158",1235.43
"H04159",1222.99
"H04160",1220.86
"H04161",1219.4
"H04162",1211.34
"H04163",1202.08
"H04164",1201.46
"H04165",1190.51
"H04166",1185.68
"H04167",1173.25
"H04168",1173.25
"H04169",1157.78
"H04170",1140.5
"H04171",1136.21
"H04172",1128.6
"H04173",1121.57
"H04174",1117.85
"H04175",1091.93
"H04176",1086.63
"H04177",1076.39
"H04178",1055.37
"H04179",1042.5
"H04180",1009.03
"H04181",1008.05
"H04182",1000
"H04183",1000
"H04184",977.4
"H04185",971.11
"H04186",955.69
"H04187",951.55
"H04188",944.24
"H04189",943.68
"H04190",937.36
"H04191",914.95
"H04192",913.97
"H04193",906.54
"H04194",901.8
"H04195",895.44
"H04196",893.08
"H04197",862.15
"H04198",850
"H04199",845.73
"H04200",843
"H04201",840.2
"H04202",839.68
"H04203",821.16
"H04204",800.36
"H04205",789.18
"H04206",787.82
"H04207",787.49
"H04208",763.84
"H04209",756.4
"H04210",754.74
"H04211",748.1
"H04212",745.92
"H04213",735.18
"H04214",735
"H04215",730.82
"H04216",707.1
"H04217",702.58
"H04218",689.26
"H04219",641.93
"H04220",640.41
"H04221",638.95
"H04222",632.67
"H04223",626.02
"H04224",625.17
"H04225",614.54
"H04226",599
"H04227",570.83
"H04228",567.79
"H04229",566.19
"H04230",540.6
"H04231",537.74
"H04232",536.01
"H04233",532.17
"H04234",531.73
"H04235",515.34
"H04236",507.09
"H04237",505.02
"H04238",500
"H04239",500
"H04240",494.96
"H04241",493.17
"H04242",491.68
"H04243",480.73
"H04244",480
"H04245",478.27
"H04246",472.75
"H04247",458.1
"H04248",444.06
"H04249",437.06
"H04250",412.49
"H04251",409.11
"H04252",400
"H04253",395.27
"H04254",386.56
"H04255",384.58
"H04256",375
"H04257",372.95
"H04258",367.73
"H04259",354.18
"H04260",350.77
"H04261",339.74
"H04262",338.63
"H04263",309.52
"H04264",306.87
"H04265",300.69
"H04266",275.07
"H04267",273.61
"H04268",265.67
"H04269",261.64
"H04270",259.25
"H04271",237.65
"H04272",225.2
"H04273",224.54
"H04274",220.28
"H04275",217.97
"H04276",212.85
"H04277",180.07
"H04278",167.73
"H04279",161.1
"H04280",149.26
"H04281",148.45
"H04282",123.37
"H04283",113.54
"H04284",100
"H04285",90
"H04286",64.05
"H04287",60
"H04288",21631.29
"H04289",20334.71
"H04290",10359.7
"H04291",10232.63
"H04292",9904.92
"H04293",8877.68
"H04294",7819.37
"H04295",7780.9
"H04296",6357.31
"H04297",6299.63
"H04298",5673.79
"H04299",4767.39
"H04300",4638.24
"H04301",4445
"H04302",4355.94
"H04303",4302.28
"H04304",4108.44
"H04305",4075.54
"H04306",3939.13
"H04307",3890.9
"H04308",3838.97
"H04309",3721.49
"H04310",3692.33
"H04311",3606.75
"H04312",3511.68
"H04313",3363
"H04314",3309.81
"H04315",3278.75
"H04316",3251.14
"H04317",3198.5
"H04318",3144.87
"H04319",3018.03
"H04320",3014.34
"H04321",2900.36
"H04322",2756.83
"H04323",2750.5
"H04324",2657.28
"H04325",2626
"H04326",2538.97
"H04327",2436.7
"H04328",2347.78
"H04329",2345.69
"H04330",2319.84
"H04331",2269
"H04332",2240.6
"H04333",2191.83
"H04334",2184.66
"H04335",2135.15
"H04336",2113.22
"H04337",2110.29
"H04338",2101.18
"H04339",2075.3
"H04340",2061.63
"H04341",2055
"H04342",2011.47
"H04343",1988.24
"H04344",1984.37
"H04345",1942.68
"H04346",1938.6
"H04347",1907.76
"H04348",1849.97
"H04349",1800
"H04350",1791.95
"H04351",1781.69
"H04352",1743.5
"H04353",1682.04
"H04354",1668.72
"H04355",1647.33
"H04356",1571.4
"H04357",1550.8
"H04358",1513.04
"H04359",1500
"H04360",1487.98
"H04361",1483.24
"H04362",1481.81
"H04363",1476.43
"H04364",1470
"H04365",1462.16
"H04366",1431.82
"H04367",1430.24
"H04368",1427.37
"H04369",1415.82
"H04370",1408.43
"H04371",1394.83
"H04372",1361.13
"H04373",1357.61
"H04374",1350
"H04375",1333.03
"H04376",1327.03
"H04377",1308.5
"H04378",1278.9
"H04379",1262.07
"H04380",1249.99
"H04381",1247.47
"H04382",1229.44
"H04383",1227.96
"H04384",1227.21
"H04385",1211.84
"H04386",1210.38
"H04387",1185.02
"H04388",1183.6
"H04389",1168.72
"H04390",1129.02
"H04391",1097.13
"H04392",1091.88
"H04393",1091.06
"H04394",1088.27
"H04395",1086.23
"H04396",1056.58
"H04397",1018.39
"H04398",1013.93
"H04399",1000
"H04400",999.89
"H04401",991.36
"H04402",980.92
"H04403",978.03
"H04404",972.95
"H04405",972.06
"H04406",950
"H04407",938.1
"H04408",932.94
"H04409",929.62
"H04410",922.82
"H04411",921
"H04412",904.02
"H04413",900
"H04414",892.4
"H04415",889.95
"H04416",876.06
"H04417",842.57
"H04418",832.3
"H04419",825.69
"H04420",825.38
"H04421",819.99
"H04422",818.83
"H04423",815.16
"H04424",808.5
"H04425",807.7
"H04426",807.33
"H04427",807.25
"H04428",799.98
"H04429",795.08
"H04430",785.66
"H04431",781.56
"H04432",756.61
"H04433",736.25
"H04434",693.87
"H04435",693.06
"H04436",683.15
"H04437",676.68
"H04438",675
"H04439",661.57
"H04440",660.59
"H04441",654.26
"H04442",639.05
"H04443",634.89
"H04444",633
"H04445",628.21
"H04446",625.5
"H04447",625
"H04448",620.44
"H04449",619.4
"H04450",616.75
"H04451",596.02
"H04452",571.22
"H04453",564.71
"H04454",564.13
"H04455",550.47
"H04456",549.71
"H04457",548.07
"H04458",530.53
"H04459",528.2
"H04460",500
"H04461",499.44
"H04462",497.83
"H04463",497.39
"H04464",496.51
"H04465",496.25
"H04466",481.52
"H04467",474.18
"H04468",468.9
"H04469",459.53
"H04470",459
"H04471",454.34
"H04472",453.66
"H04473",450
"H04474",448.61
"H04475",445.42
"H04476",432.15
"H04477",428.54
"H04478",423.45
"H04479",422.81
"H04480",411.76
"H04481",408.44
"H04482",403.82
"H04483",403.11
"H04484",400
"H04485",386.89
"H04486",383.12
"H04487",378.4
"H04488",375
"H04489",372.76
"H04490",361.18
"H04491",360.7
"H04492",343.5
"H04493",341.58
"H04494",336.99
"H04495",332.33
"H04496",328.18
"H04497",323.32
"H04498",318.12
"H04499",315.12
"H04500",290
"H04501",283.22
