"Claim No","State","CLASS","Gender","Age","Claim Amount"
"H03061","STATE 17","C71","F",64,500.65
"H03062","STATE 17","C7 ","F",64,484.38
"H03063","STATE 15","C1 ","F",64,479.44
"H03064","STATE 03","C71","M",64,470
"H03065","STATE 10","C1 ","F",64,454.05
"H03066","STATE 04","C71","M",64,450.62
"H03067","STATE 07","C71","M",64,444.98
"H03068","STATE 06","C11","M",64,439.5
"H03069","STATE 07","C71","M",64,434.92
"H03070","STATE 02","C71",,64,422.99
"H03071","STATE 07","C7 ","F",64,411.35
"H03072","STATE 06","C7B","F",64,411
"H03073","STATE 03","C71","M",64,398.28
"H03074","STATE 17","C71","M",64,398.08
"H03075","STATE 06","C11","M",64,385.94
"H03076","STATE 15","C72","F",64,367.14
"H03077","STATE 04","C71","M",64,361.11
"H03078","STATE 02","C11","M",64,350.92
"H03079","STATE 04","F71","M",64,329.4
"H03080","STATE 02","C11","M",64,326.48
"H03081","STATE 02","C11","M",64,315.61
"H03082","STATE 02","C11","F",64,313.99
"H03083","STATE 02","C7 ","M",64,311.32
"H03084","STATE 06","C71","M",64,290.81
"H03085","STATE 10","C7 ","F",64,270.2
"H03086","STATE 02","C1B","F",64,267.98
"H03087","STATE 15","C7A","M",64,259.21
"H03088","STATE 04","C7 ","M",64,255.98
"H03089","STATE 15","F7 ","M",64,251.37
"H03090","STATE 02","C1 ","M",64,247.5
"H03091","STATE 04","C71","F",64,230.07
"H03092","STATE 02","C1 ","F",64,133.76
"H03093","STATE 02","C7B","M",64,109.53
"H03094","STATE 04","C71","M",64,108.15
"H03095","STATE 15","C71","F",64,86.33
"H03096","STATE 15","C11","M",64,36.29
"H03097","STATE 01","F11","F",64,35
"H03098","STATE 17","C7 ","F",64,25.44
"H03099","STATE 15","C11",,64,25
"H03100","STATE 12","C1B","M",63,9793.42
"H03101","STATE 17","C7 ","F",63,7757.35
"H03102","STATE 07","C71","M",63,7620.37
"H03103","STATE 15","C1 ","M",63,
"H03104","STATE 15","F71","F",63,7513.51
"H03105","STATE 15","C7 ","F",63,
"H03106","STATE 15","C72","F",63,6246.27
"H03107","STATE 15","C11","F",63,
"H03108","STATE 15","C7 ","M",63,5546.63
"H03109","STATE 10","C7A","M",63,5427.48
"H03110","STATE 15","C1 ","F",63,5317.71
"H03111","STATE 15","C7 ","M",63,4864.38
"H03112","STATE 17","C71",,63,4781.43
"H03113","STATE 02","C1 ","M",63,4607.69
"H03114","STATE 15","C1B",,63,
"H03115","STATE 02","C1 ","F",63,4359.77
"H03116","STATE 15","C7B","M",63,4334.92
"H03117","STATE 12","C1 ","F",63,4048.31
"H03118","STATE 02","C71","M",63,3983.75
"H03119","STATE 06","C7A","M",63,3944.37
"H03120","STATE 02","C71","F",63,3887.03
"H03121","STATE 07","C7A","M",63,3862.95
"H03122","STATE 15","C1A","M",63,3771.93
"H03123","STATE 17","C71","M",63,3765.25
"H03124","STATE 02","C11","M",63,3763.04
"H03125","STATE 02","C1 ","F",63,3699.39
"H03126","STATE 15","C7 ","F",63,3434.4
"H03127","STATE 04","C71","M",63,3331.48
"H03128","STATE 14","C71","M",63,3035.81
"H03129","STATE 15","C11","M",63,3007.15
"H03130","STATE 15","C11","M",63,3000
"H03131","STATE 02","C7B","M",63,2888.44
"H03132","STATE 02","C7 ","F",63,2887.5
"H03133","STATE 15","C71","M",63,2799.22
"H03134","STATE 10","C7B","M",63,2721.71
"H03135","STATE 15","C1 ","F",63,2696.35
"H03136","STATE 02","F1 ","M",63,2680.81
"H03137","STATE 02","C71",,63,2648.23
"H03138","STATE 02","C71","M",63,2551.57
"H03139","STATE 15","C71","M",63,2535.72
"H03140","STATE 02","C7A",,63,2507.66
"H03141","STATE 06","F1 ","F",63,2437.66
"H03142","STATE 06","C1 ",,63,2406
"H03143","STATE 15","C71","M",63,2228.05
"H03144","STATE 15","C71","M",63,2199.43
"H03145","STATE 06","C11","M",63,2182.77
"H03146","STATE 15","C1A","M",63,2105.3
"H03147","STATE 04","C7 ","F",63,2002.9
"H03148","STATE 10","C71","M",63,1850.78
"H03149","STATE 06","C7B","F",63,1782.16
"H03150","STATE 15","C2 ","M",63,1705.94
"H03151","STATE 01","C7 ","M",63,1677.66
"H03152","STATE 15","C7B","F",63,1613.41
"H03153","STATE 13","C1B","M",63,1609.52
"H03154","STATE 06","C7B","M",63,1577.05
"H03155","STATE 07","C7 ","M",63,1567.93
"H03156","STATE 15","C7B","M",63,1504.43
"H03157","STATE 15","C1 ","M",63,1451.57
"H03158","STATE 14","C7 ","M",63,1451.19
"H03159","STATE 02","C7 ","M",63,1439.46
"H03160","STATE 03","C11",,63,1436
"H03161","STATE 15","C1 ","M",63,1391.42
"H03162","STATE 06","C1 ","F",63,1340.74
"H03163","STATE 15","C7B","M",63,1316.95
"H03164","STATE 04","C7 ","M",63,1315.16
"H03165","STATE 03","C7 ","M",63,1283.6
"H03166","STATE 02","C11","F",63,1282.58
"H03167","STATE 03","C1 ","M",63,1249.02
"H03168","STATE 15","C71","F",63,1219.26
"H03169","STATE 04","C72","M",63,1200
"H03170","STATE 10","C7 ","M",63,1159.2
"H03171","STATE 15","C71","F",63,1151.25
"H03172","STATE 13","C71","M",63,1141.9
"H03173","STATE 17","C7B","M",63,1138
"H03174","STATE 03","C7C","M",63,1114.06
"H03175","STATE 06","C71","M",,1086.9
"H03176","STATE 02","C11","F",63,1085.62
"H03177","STATE 15","C7A","M",63,1068.82
"H03178","STATE 10","C7B","M",63,1056.23
"H03179","STATE 06","C71","M",63,1050
"H03180","STATE 15","C7 ","M",63,1043.75
"H03181","STATE 15","C1 ","M",63,1019.4
"H03182","STATE 07","C7B","M",63,978.46
"H03183","STATE 17","C7 ","M",63,954.94
"H03184","STATE 07","C71",,63,943.55
"H03185","STATE 03","C1 ","M",63,941.85
"H03186","STATE 15","C1 ","M",63,925.66
"H03187","STATE 15","C1 ","F",63,909.99
"H03188","STATE 17","C7 ","F",63,903.99
"H03189","STATE 15","C1 ","M",63,892.16
"H03190","STATE 02","C71","M",63,875.28
"H03191","STATE 03","C71","M",63,864.31
"H03192","STATE 15","C71","M",63,831.86
"H03193","STATE 06","C1 ","M",63,829.03
"H03194","STATE 10","C1B","F",63,825.37
"H03195","STATE 06","C71","M",63,822.17
"H03196","STATE 15","C7B","M",63,802.72
"H03197","STATE 15","C1 ","F",63,799.76
"H03198","STATE 06","C71","M",,789
"H03199","STATE 15","C7 ","F",63,788.84
"H03200","STATE 02","C7 ","F",63,778.29
"H03201","STATE 02","C1B","M",63,760.03
"H03202","STATE 04","C71","M",63,739.41
"H03203","STATE 03","C1 ","F",63,738.18
"H03204","STATE 15","C7 ","M",63,735.5
"H03205","STATE 15","C7 ",,63,707.23
"H03206","STATE 10","C71","F",63,707.09
"H03207","STATE 06","C7B","M",63,704.48
"H03208","STATE 01","C7 ","M",63,678.62
"H03209","STATE 04","C7 ","M",63,664.07
"H03210","STATE 06","C11","M",63,640
"H03211","STATE 01","F71","M",63,636.5
"H03212","STATE 06","C1 ","M",63,607.23
"H03213","STATE 10","C7 ","M",63,598.17
"H03214","STATE 15","C1 ","M",63,589.79
"H03215","STATE 01","C1 ","M",63,582.58
"H03216","STATE 17","C71",,63,565.03
"H03217","STATE 15","C11","M",63,558.45
"H03218","STATE 15","C71","M",63,542.36
"H03219","STATE 10","C71","F",63,541.67
"H03220","STATE 06","C7 ","F",63,527.52
"H03221","STATE 02","C1 ","F",63,526.17
"H03222","STATE 15","C71","F",63,516.96
"H03223","STATE 17","C71","F",63,510.19
"H03224","STATE 02","C1 ","M",63,498.62
"H03225","STATE 17","C71","M",63,498.22
"H03226","STATE 04","C71","F",63,492.59
"H03227","STATE 06","C71","M",63,492.22
"H03228","STATE 15","C1 ","F",63,476.2
"H03229","STATE 04","C71","M",63,468
"H03230","STATE 02","C1B","F",63,463.98
"H03231","STATE 15","C71","F",,460.15
"H03232","STATE 02","C7 ","F",63,457.95
"H03233","STATE 06","C1 ","M",63,446.38
"H03234","STATE 02","C7 ","M",63,445.28
"H03235","STATE 02","C71","M",63,443.49
"H03236","STATE 17","C71","M",63,443.35
"H03237","STATE 02","C71","M",63,439.22
"H03238","STATE 03","C72","M",63,430.96
"H03239","STATE 15","C1A",,63,399.63
"H03240","STATE 15","C1B","F",63,385.39
"H03241","STATE 15","C1 ","M",63,379.84
"H03242","STATE 02","C7 ","M",63,375.4
"H03243","STATE 10","C11","F",63,370.58
"H03244","STATE 15","C11","M",63,362.73
"H03245","STATE 02","C71","M",63,362.48
"H03246","STATE 15","C7B","F",63,359.11
"H03247","STATE 02","F7 ","M",63,348.47
"H03248","STATE 15","C71","F",63,345.1
"H03249","STATE 02","C1B","F",63,343.6
"H03250","STATE 15","C7 ","M",63,335.29
"H03251","STATE 15","C1B","M",63,328.11
"H03252","STATE 15","C1 ","M",63,327.1
"H03253","STATE 15","C11","F",63,317.77
"H03254","STATE 02","C71","F",,315.44
"H03255","STATE 15","C11","M",63,315
"H03256","STATE 02","F7 ","M",63,291.64
"H03257","STATE 04","C7B","M",63,290.9
"H03258","STATE 06","F71","F",63,289.14
"H03259","STATE 17","C7A","M",63,281.5
"H03260","STATE 03","C1 ","M",,275.97
"H03261","STATE 14","C11","F",63,261.99
"H03262","STATE 03","C71","M",63,258.44
"H03263","STATE 02","C1 ","F",63,243.35
"H03264","STATE 15","C1 ","F",63,204.12
"H03265","STATE 12","C1A","F",63,200
"H03266","STATE 12","C1 ","M",63,196.22
"H03267","STATE 02","F7 ","M",,165.77
"H03268","STATE 17","C7B","F",63,165.66
"H03269","STATE 02","C1 ","M",63,160.19
"H03270","STATE 15","C7 ","M",63,158.26
"H03271","STATE 17","C7 ","F",63,153.85
"H03272","STATE 07","C7B","M",63,139.02
"H03273","STATE 04","C71","F",63,126.7
"H03274","STATE 15","C1 ","F",63,114.05
"H03275","STATE 01","C71","M",63,98.21
"H03276","STATE 15","C71",,63,37.98
"H03277","STATE 02","C7 ","F",62,10943.31
"H03278","STATE 06","C71","M",62,9597.98
"H03279","STATE 07","C71","M",62,9361.83
"H03280","STATE 15","C7B","M",,8396.25
"H03281","STATE 06","C1 ","F",62,8215.8
"H03282","STATE 02","C71","M",62,7920.76
"H03283","STATE 13","C7 ","M",62,7599.5
"H03284","STATE 02","C71","M",62,7339.9
"H03285","STATE 12","C11","M",62,
"H03286","STATE 15","C11","M",62,6208.2
"H03287","STATE 02","C1 ","M",62,6161.06
"H03288","STATE 15","C72","M",62,5600.6
"H03289","STATE 17","C71","F",62,
"H03290","STATE 02","C1 ","M",62,4893.55
"H03291","STATE 15","C1 ","M",62,
"H03292","STATE 02","C71","M",62,4500
"H03293","STATE 17","C7 ","M",62,4171.01
"H03294","STATE 03","C7 ","F",62,3912.49
"H03295","STATE 04","C7B","M",62,3905.42
"H03296","STATE 04","C7 ","M",62,3854.3
"H03297","STATE 07","C71","M",62,3817.73
"H03298","STATE 07","C71","M",62,3314.42
"H03299","STATE 15","C1 ","F",62,3296.77
"H03300","STATE 02","C1 ","M",62,3277.24
"H03301","STATE 17","C7B",,62,3230.09
"H03302","STATE 15","C1C","M",62,3046.29
"H03303","STATE 14","C11","F",62,2843.32
"H03304","STATE 02","F71","M",62,2821.59
"H03305","STATE 17","C7B","M",62,2766.92
"H03306","STATE 17","C71","M",62,2758.54
"H03307","STATE 12","C7 ","F",62,2755.77
"H03308","STATE 07","F71","F",62,2732.94
"H03309","STATE 15","C71",,62,2731.4
"H03310","STATE 15","C7B","M",62,2701.04
"H03311","STATE 07","C71","M",62,2600
"H03312","STATE 17","C7A","F",62,2531.24
"H03313","STATE 04","C7 ","F",62,2347.8
"H03314","STATE 06","C71","M",62,2271.47
"H03315","STATE 15","C11","M",62,2247.93
"H03316","STATE 15","C1B","M",62,2230.25
"H03317","STATE 17","C7 ","F",62,2163.73
"H03318","STATE 02","C7 ","F",62,2038.05
"H03319","STATE 06","C7B","M",62,2036.49
"H03320","STATE 04","C71","F",62,2022.19
"H03321","STATE 02","C7 ","M",62,2005.87
"H03322","STATE 06","C1 ","F",62,1928.18
"H03323","STATE 02","C11",,62,1925.31
"H03324","STATE 04","C7 ","F",62,1918.9
"H03325","STATE 02","C71","F",62,1890.5
"H03326","STATE 17","C7 ","M",62,1816.58
"H03327","STATE 02","C71","F",62,1785
"H03328","STATE 02","F1 ","M",62,1745.29
"H03329","STATE 15","C11","M",62,1731.05
"H03330","STATE 02","F71",,62,1726.51
"H03331","STATE 02","C11","M",,1705.08
"H03332","STATE 04","C7B","M",62,1704.54
"H03333","STATE 10","C1B","M",62,1641.63
"H03334","STATE 06","C72","M",62,1628.56
"H03335","STATE 02","F11","M",62,1584.78
"H03336","STATE 02","C71","F",62,1572.76
"H03337","STATE 03","C7 ","M",62,1565.84
"H03338","STATE 06","C7 ","F",62,1537.89
"H03339","STATE 15","C1 ","F",62,1475.12
"H03340","STATE 12","C11","M",62,1462.23
"H03341","STATE 02","C71","M",62,1454.32
"H03342","STATE 17","C7 ","M",62,1442.27
"H03343","STATE 04","C71","M",62,1409.51
"H03344","STATE 04","C71","M",62,1394.06
"H03345","STATE 17","C7 ","M",62,1391.55
"H03346","STATE 04","C71","M",62,1384.12
"H03347","STATE 13","C7 ","M",62,1358.22
"H03348","STATE 14","C71","M",62,1344.14
"H03349","STATE 15","C1C","F",62,1300
"H03350","STATE 07","C71","M",62,1279.05
"H03351","STATE 14","F71","M",62,1273.07
"H03352","STATE 02","C7C","M",62,1242.8
"H03353","STATE 15","C1 ","M",62,1227.26
"H03354","STATE 02","C1 ","M",62,1181.3
"H03355","STATE 04","C7 ","M",62,1154.39
"H03356","STATE 03","C71","F",62,1149.87
"H03357","STATE 01","C1 ","M",62,1145.63
"H03358","STATE 15","C71","M",62,1106.82
"H03359","STATE 06","C11","F",62,1100.91
"H03360","STATE 02","C1 ","M",62,1076.77
"H03361","STATE 06","C11","M",62,1071.25
"H03362","STATE 15","C7A","M",62,1066.48
"H03363","STATE 04","C71","M",62,1057.91
"H03364","STATE 06","C1 ",,62,1047.41
"H03365","STATE 13","C7 ","M",62,1005.85
"H03366","STATE 01","C71",,62,988.21
"H03367","STATE 15","C71","M",62,959.52
"H03368","STATE 03","C7 ","M",62,954
"H03369","STATE 15","C11","M",62,950
"H03370","STATE 17","C71","F",62,921.16
"H03371","STATE 02","C1 ","F",62,875.21
"H03372","STATE 15","C71","M",62,866.2
"H03373","STATE 15","C71","M",62,857.61
"H03374","STATE 02","C1 ","F",62,857.19
"H03375","STATE 02","C7C","M",62,854.88
"H03376","STATE 02","C11","M",62,846.5
"H03377","STATE 15","C7 ","M",62,839.16
"H03378","STATE 15","C72","M",62,834.51
"H03379","STATE 04","C7B","M",62,819.83
"H03380","STATE 06","C71","M",62,801.63
"H03381","STATE 13","C1 ","F",62,799.29
"H03382","STATE 04","C7 ","F",62,789.33
"H03383","STATE 15","C7 ","M",62,773.31
"H03384","STATE 15","C7B",,62,773.15
"H03385","STATE 04","C71","M",62,763.07
"H03386","STATE 02","C1B","M",62,760.55
"H03387","STATE 02","C71","F",62,746.63
"H03388","STATE 06","C7B","F",62,730.83
"H03389","STATE 15","C7 ","F",62,711.56
"H03390","STATE 04","F7 ","F",62,705
"H03391","STATE 15","C1 ","F",62,701.05
"H03392","STATE 15","C71",,62,700
"H03393","STATE 15","C71","M",62,700
"H03394","STATE 02","C7B","M",62,691.13
"H03395","STATE 02","C7B","F",62,636.78
"H03396","STATE 15","C7 ",,62,628.08
"H03397","STATE 03","C1B","F",62,603.29
"H03398","STATE 07","C7A","M",,600
"H03399","STATE 10","C7 ","M",62,564.66
"H03400","STATE 06","C7 ","M",62,554.55
"H03401","STATE 14","C1 ","F",62,545.3
"H03402","STATE 02","C7 ","F",62,530.64
"H03403","STATE 15","C71","F",62,514
"H03404","STATE 06","C11","M",62,513.24
"H03405","STATE 15","C71","F",62,512.09
"H03406","STATE 15","C7 ","F",62,497.7
"H03407","STATE 04","C71","M",62,495.92
"H03408","STATE 15","C71",,62,490.6
"H03409","STATE 04","F71","M",62,482.35
"H03410","STATE 04","C7B","F",62,462
"H03411","STATE 07","C71","M",62,457.51
"H03412","STATE 17","C71","M",62,450.08
"H03413","STATE 02","C71","M",62,445.05
"H03414","STATE 15","C71","M",62,443.58
"H03415","STATE 02","C1 ","M",62,440.31
"H03416","STATE 02","C7 ","M",62,430.42
"H03417","STATE 10","C7 ","F",62,414.45
"H03418","STATE 12","C71","F",62,404.15
"H03419","STATE 07","C7 ","M",62,393.86
"H03420","STATE 17","C7B","M",62,384.9
"H03421","STATE 07","C71","F",62,382.01
"H03422","STATE 12","C71","F",62,361.73
"H03423","STATE 10","C7B","M",62,350
"H03424","STATE 15","C11","F",62,321.13
"H03425","STATE 15","C71","F",62,289.96
"H03426","STATE 01","C7 ","M",62,280
"H03427","STATE 07","C7A","M",62,276.02
"H03428","STATE 12","C1B","M",62,273.58
"H03429","STATE 12","C1 ","F",,273.29
"H03430","STATE 07","C7 ","M",62,266.38
"H03431","STATE 06","C1 ","M",62,253.86
"H03432","STATE 03","C71","M",62,250
"H03433","STATE 02","C71","M",62,243.11
"H03434","STATE 15","C71","F",62,230
"H03435","STATE 15","C11","M",62,226.56
"H03436","STATE 12","C11","M",62,224.23
"H03437","STATE 04","C72","F",62,223
"H03438","STATE 15","C11","M",62,189.9
"H03439","STATE 15","C11","F",62,187.5
"H03440","STATE 06","C7B","M",62,176.2
"H03441","STATE 15","C1B","M",62,160
"H03442","STATE 02","F7 ","M",62,152.13
"H03443","STATE 04","C7C",,62,144.19
"H03444","STATE 03","C1 ","M",62,126.1
"H03445","STATE 15","C2 ","M",62,123.96
"H03446","STATE 02","C71","M",62,85
"H03447","STATE 15","C7B",,61,17067.32
"H03448","STATE 15","C11","M",61,
"H03449","STATE 06","C11","M",61,9964.08
"H03450","STATE 06","C1B","M",61,9183.55
"H03451","STATE 03","C7B","F",61,8520.94
"H03452","STATE 15","C7B","M",61,7836.7
"H03453","STATE 12","C2 ","M",61,
"H03454","STATE 15","C1 ","M",61,
"H03455","STATE 15","C71","F",61,5838.03
"H03456","STATE 12","C1B","M",61,5713.08
"H03457","STATE 01","C7B","M",61,5556.75
"H03458","STATE 02","C11","M",61,
"H03459","STATE 17","F71","F",61,4593.43
"H03460","STATE 17","C71","F",61,
"H03461","STATE 10","C1 ","F",61,4313.68
"H03462","STATE 02","C71","M",61,
"H03463","STATE 15","C7B","F",61,4259.76
"H03464","STATE 06","C1 ","M",61,3994.66
"H03465","STATE 06","C71","M",61,3777.64
"H03466","STATE 15","C7C","M",61,3662.96
"H03467","STATE 15","C71","M",61,3597.83
"H03468","STATE 15","C1B","M",61,3566.59
"H03469","STATE 02","C11","F",61,3472
"H03470","STATE 03","C1 ","F",61,3403.09
"H03471","STATE 02","C71","F",61,3328.93
"H03472","STATE 02","C11","M",61,3224.72
"H03473","STATE 15","C7B","M",61,2918
"H03474","STATE 14","C7 ","F",61,2883.84
"H03475","STATE 15","C71","M",61,2805.73
"H03476","STATE 02","C1B","M",61,2712.61
"H03477","STATE 06","C1 ","M",,2688
"H03478","STATE 15","C11","F",61,2674
"H03479","STATE 17","C71","F",61,2593.89
"H03480","STATE 15","C1B","M",61,2586.45
"H03481","STATE 01","C2 ","M",61,2525.2
"H03482","STATE 02","C71","F",61,2465.08
"H03483","STATE 06","C1 ","M",61,2399.01
"H03484","STATE 10","C1 ","M",61,2354.22
"H03485","STATE 02","C7B",,61,2340.05
"H03486","STATE 15","C7 ","F",61,2265.83
"H03487","STATE 06","C1 ","F",61,2171.25
"H03488","STATE 02","C7B","M",61,2166.3
"H03489","STATE 15","C11","M",,2163.98
"H03490","STATE 15","C1 ","F",61,2151.66
"H03491","STATE 06","C7 ","M",61,2125.09
"H03492","STATE 04","C7 ","M",,2068.44
"H03493","STATE 13","C1B","M",61,2000
"H03494","STATE 06","C7 ","M",61,1907
"H03495","STATE 03","C71","M",61,1791.85
"H03496","STATE 14","C1 ","M",61,1760.12
"H03497","STATE 15","C11","F",61,1739.92
"H03498","STATE 12","C72","M",61,1739.28
"H03499","STATE 06","C71","M",61,1730
"H03500","STATE 02","C1 ","M",61,1717.37
"H03501","STATE 15","C1 ","F",61,1696.26
"H03502","STATE 04","C71","F",61,1644.2
"H03503","STATE 15","C7B","M",61,1636.16
"H03504","STATE 03","C1 ","M",61,1595.17
"H03505","STATE 15","C1 ","M",61,1591.32
"H03506","STATE 02","C71","M",61,1535.01
"H03507","STATE 15","C7B","M",61,1506
"H03508","STATE 01","C1 ","M",61,1483.34
"H03509","STATE 02","C72","M",61,1448.59
"H03510","STATE 17","C7 ","M",61,1444.17
"H03511","STATE 06","C7A","F",61,1441
"H03512","STATE 17","C71","M",61,1433.77
"H03513","STATE 17","C71","M",61,1430.43
"H03514","STATE 01","C1 ","M",61,1405
"H03515","STATE 14","F71","M",61,1395.14
"H03516","STATE 15","C72","F",61,1390.16
"H03517","STATE 02","C1C","F",61,1352.01
"H03518","STATE 06","C7B","F",61,1325.64
"H03519","STATE 15","C7A","M",61,1302.5
"H03520","STATE 10","C1A","F",61,1291.48
"H03521","STATE 04","C7A","M",61,1268.37
"H03522","STATE 02","C11","M",61,1266.44
"H03523","STATE 15","C7A",,61,1243.73
"H03524","STATE 12","C1B","M",61,1240.84
"H03525","STATE 02","C1 ","M",61,1231.03
"H03526","STATE 07","C71","F",61,1191.58
"H03527","STATE 03","C1 ","M",61,1185.83
"H03528","STATE 03","C71","F",61,1168.75
"H03529","STATE 15","C7B","F",61,1167.44
"H03530","STATE 15","C7B","M",61,1156.05
"H03531","STATE 14","F71","M",61,1118.73
"H03532","STATE 04","C71","M",61,1104.29
"H03533","STATE 17","C7 ","M",61,1090.49
"H03534","STATE 04","C72","M",61,1068.71
"H03535","STATE 15","C72","M",61,1055.23
"H03536","STATE 12","C1B","M",61,1049.08
"H03537","STATE 07","F71","M",61,1035.03
"H03538","STATE 01","C1B","M",61,1025.44
"H03539","STATE 15","C11","M",61,1015.21
"H03540","STATE 15","C11","F",61,1014.98
"H03541","STATE 02","C7B","F",61,1012.89
"H03542","STATE 15","C71","F",61,1011.97
"H03543","STATE 15","C7C","F",61,981.57
"H03544","STATE 15","C72","M",61,973.2
"H03545","STATE 15","C1B","M",61,960.82
"H03546","STATE 04","C7B","F",61,956.49
"H03547","STATE 15","C71","F",61,941.51
"H03548","STATE 04","C71","M",61,934.69
"H03549","STATE 02","C7 ","F",,885.5
"H03550","STATE 17","C71","M",61,874.97
"H03551","STATE 13","C71","M",61,869.51
"H03552","STATE 01","C1 ","M",61,868.15
"H03553","STATE 07","C71","M",61,840.73
"H03554","STATE 02","F71","M",61,838.37
"H03555","STATE 15","C1A","M",61,821.46
"H03556","STATE 15","C7B","M",61,793.09
"H03557","STATE 06","C7A","M",61,786.4
"H03558","STATE 02","C71","M",61,774.08
"H03559","STATE 15","C7B","F",61,768.66
"H03560","STATE 06","C1B","M",61,758.65
"H03561","STATE 04","C71","M",61,756.42
"H03562","STATE 04","C7 ","M",61,739.87
"H03563","STATE 15","C7B","M",61,735.11
"H03564","STATE 04","F71","M",61,720.53
"H03565","STATE 15","F7 ","M",61,712.96
"H03566","STATE 02","C7 ","F",61,712.84
"H03567","STATE 04","C72","M",61,710.11
"H03568","STATE 15","C1 ","M",61,708
"H03569","STATE 04","C7 ","M",61,706.88
"H03570","STATE 15","C71","F",61,705.29
"H03571","STATE 02","C71","M",61,702.1
"H03572","STATE 15","C7C","F",61,699.19
"H03573","STATE 02","C1A","M",61,695.56
"H03574","STATE 17","C71","M",61,677.43
"H03575","STATE 14","C1B","M",61,668.12
"H03576","STATE 17","C71","M",61,660.32
"H03577","STATE 15","C7B","M",61,655.16
"H03578","STATE 04","C7 ","F",61,648.16
"H03579","STATE 17","C71","F",61,634.14
"H03580","STATE 15","C7 ","F",61,625.79
"H03581","STATE 02","C71","F",61,609.01
"H03582","STATE 10","C1 ","M",61,589.88
"H03583","STATE 15","C71","M",61,589.58
"H03584","STATE 02","C7B","M",61,588.56
"H03585","STATE 15","C7 ","M",61,562.15
"H03586","STATE 02","C71","M",61,561.23
"H03587","STATE 02","C7 ","F",61,559.9
"H03588","STATE 02","C71","F",61,556.54
"H03589","STATE 13","F11","M",61,545.35
"H03590","STATE 13","C11","M",61,537.77
"H03591","STATE 04","C71","M",61,535.3
"H03592","STATE 15","C7A","M",61,520.96
"H03593","STATE 01","C71","M",61,500
"H03594","STATE 04","F7 ","M",61,498.38
"H03595","STATE 03","C7A","M",61,493.27
"H03596","STATE 15","C71","M",61,491.1
"H03597","STATE 15","C11","M",61,490.53
"H03598","STATE 02","C7 ","M",61,488.6
"H03599","STATE 07","C71","M",61,482.09
"H03600","STATE 06","C1A","F",61,478.81
"H03601","STATE 15","C1A","M",61,478.64
"H03602","STATE 17","C7 ","M",61,466.99
"H03603","STATE 06","C2 ","M",61,459.43
"H03604","STATE 15","C7B","M",61,452.54
"H03605","STATE 04","C71","F",61,447.19
"H03606","STATE 02","C7 ","M",61,444.69
"H03607","STATE 04","C7B","F",61,425.21
"H03608","STATE 15","C11","M",61,410
"H03609","STATE 15","C11","F",61,400.62
"H03610","STATE 03","C1 ","F",61,390.03
"H03611","STATE 03","C1 ","F",61,372.96
"H03612","STATE 04","C71","M",61,364.58
"H03613","STATE 04","C7 ","M",61,352.42
"H03614","STATE 04","C7B","M",61,345.7
"H03615","STATE 04","F7 ","M",61,338.3
"H03616","STATE 13","C71","M",61,329.85
"H03617","STATE 02","F71","M",61,322.51
"H03618","STATE 06","C1 ","M",61,315.3
"H03619","STATE 02","C7 ","F",61,308
"H03620","STATE 03","C7 ","F",61,302.54
"H03621","STATE 03","C1 ","F",61,280.03
"H03622","STATE 02","C1B","F",61,267.25
"H03623","STATE 03","C7B","M",61,265.24
"H03624","STATE 15","C7B","M",61,259.41
"H03625","STATE 15","C1 ","M",61,257.2
"H03626","STATE 15","C1B","M",61,254.46
"H03627","STATE 06","C7 ","F",61,239.2
"H03628","STATE 01","C7B","F",61,220.8
"H03629","STATE 01","F71","M",,219.89
"H03630","STATE 02","C7B","M",61,216.52
"H03631","STATE 07","C7 ","M",61,175
"H03632","STATE 01","C1A","M",61,171.97
"H03633","STATE 15","C7C","M",61,153.18
"H03634","STATE 02","C1B","M",61,129.86
"H03635","STATE 02","C7B","F",61,128.6
"H03636","STATE 04","C7B",,61,125.53
"H03637","STATE 02","C1 ","M",61,116.37
"H03638","STATE 15","C1B","F",61,105.31
"H03639","STATE 01","C7B","M",61,90.92
"H03640","STATE 02","C1B","M",60,20047.78
"H03641","STATE 15","C71","F",60,
"H03642","STATE 13","C11","M",60,10391.52
"H03643","STATE 02","C7 ","F",60,10264.47
"H03644","STATE 15","C71","M",,7339.68
"H03645","STATE 06","C7B","F",60,6942.54
"H03646","STATE 07","C7B","M",60,6517
"H03647","STATE 15","C71","F",60,
"H03648","STATE 13","C1 ","F",60,5313.8
"H03649","STATE 15","C1B","M",60,4920
"H03650","STATE 02","C7B","M",60,4807.95
"H03651","STATE 04","C7B","M",60,4610.48
"H03652","STATE 15","C71","M",60,4551.35
"H03653","STATE 06","C1 ","M",60,4341.94
"H03654","STATE 10","C7 ","M",60,4014.15
"H03655","STATE 02","C11",,60,3842.37
"H03656","STATE 02","C11",,60,3803.39
"H03657","STATE 15","C1 ","M",60,3782.22
"H03658","STATE 06","C7A","M",60,3750
"H03659","STATE 02","C71","M",60,3670.52
"H03660","STATE 03","C11","M",,3482.79
"H03661","STATE 04","C7B","M",60,3482.63
"H03662","STATE 07","C7B","M",60,3437.36
"H03663","STATE 04","C7C","M",60,3382.2
"H03664","STATE 15","C7B","M",60,3223.5
"H03665","STATE 02","C7 ","F",60,3086.95
